"ko_tube_number","user_genome","orig_order","Strain","Previous_taxonomy","order","family","genus","CC_number","Winners_losers","classification","Lipase","Protease","β.N.acetylglucosaminidase","Endochitinase","Chitobiosidase","r.mean","n0.mean","k.mean","lipase_scaled","protease_scaled","bna_scaled","endo_scaled","cbio_scaled"
23,"D19-260007",23,"M03D5GC21","Herbaspirillum","Burkholderiales","Burkholderiaceae","Herbaspirillum",23,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__",242539,11.5,1754,704,1509,0.343347689534175,0.0079471957114408,0.282467787988539,-0.334176268467807,-0.456677002545716,-0.326508956891526,-0.191661880781455,-0.292713482679378
17,"D19-260032",26,"M10D5GC19","Achromobacter","Burkholderiales","Burkholderiaceae","Achromobacter",17,"loser2","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__",251135,10,1759,679,1528,0.342603735910696,0.00747636843976943,0.557882078360594,-0.319011534861965,-0.462023623081669,-0.326725754804622,-0.19159613206875,-0.292608028465614
18,"D19-260029",11,"M10D5GC03","Citrobacter","Enterobacterales","Enterobacteriaceae","Citrobacter",18,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii",217555,14,1586,694,1379,0.34017386226989,0.0218838858269739,0.383410960516062,-0.378252083312894,-0.447765968319126,-0.326595676056764,-0.19387103752833,-0.293435011510401
1,"D19-260013",4,"M07D5C14","Flavobacterium","Flavobacteriales","Flavobacteriaceae","Flavobacterium",1,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium chilense",284018,233.5,2482,35005,88358,0.331633970139908,0.0212358460659807,0.445738771620478,-0.26100060708615,0.334622836775456,-0.0290535482082613,-0.182088868211663,0.18931772843969
15,"D19-260016",28,"M07D5GC13","Aquitalea","Burkholderiales","Chromobacteriaceae","Aquitalea",15,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Aquitalea;s__",210441,12.5,1532,375,1762,0.315218076727647,0.0346369778440342,0.483682406890721,-0.39080232934267,-0.45311258885508,-0.32936201742786,-0.194581123625539,-0.291309276569773
5,"D19-260005",5,"M03D5GC02","Chromobacterium","Burkholderiales","Chromobacteriaceae","Chromobacterium",5,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium sp002213445",1791462,1026,11684,433218,667796,0.315156667440193,0.0311454476594077,0.524828432974229,2.39837429818667,3.15942068660441,3.42421634648837,-0.0610849373500973,3.40532713451703
6,"D19-260002",16,"M03D5C18","Pedobacter","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",6,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__",236418,308,4909,4958,1490,0.301440597275716,0.0105660371474303,0.402081404375683,-0.344974701971921,0.600171656727831,-0.289618623999231,-0.150174443064845,-0.292818936893143
10,"D19-260024",18,"M09D5GC15","Dyella","Xanthomonadales","Rhodanobacteraceae","Rhodanobacteraceae",10,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__",234242,658,2002,326441,76103,0.300874735324918,0.00763509971231307,0.39312050646002,-0.348813517738128,1.8477164484504,2.49825511582532,-0.188400744631306,0.12129976056137
4,"D19-260009",32,"M05D5C13","Brevundimonas","Caulobacterales","Caulobacteraceae","Brevundimonas",4,NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__",207166,12,1506,683,1521,0.293978750333454,0.00213084570901068,0.21509843853236,-0.39657995877021,-0.454894795700398,-0.326691067138526,-0.194923016931603,-0.292646880018053
22,"D19-260003",17,"M03D5C31","Chitinophaga","Chitinophagales","Chitinophagaceae","Chitinophaga",22,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__",277593,78,20655,998,1894,0.270990376258059,0.0108982538233448,0.303697384440807,-0.272335345734072,-0.219643492118428,-0.323959413433526,0.0568814029845158,-0.290576647295196
25,"D19-260012",15,"M07D5C10","Pedobacter","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",25,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__",218524,11.5,1907,699,1522,0.270868970692637,0.0094119230104614,0.464628473934822,-0.376542610667005,-0.456677002545716,-0.326552316474145,-0.189649970172694,-0.292641329796276
9,"D19-260006",22,"M03D5GC15","Ralstonia","Burkholderiales","Burkholderiaceae","Ralstonia",9,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__",2208032,96.5,1298,640,1407,0.261893080942555,0.00912043097365824,0.482727330005449,3.13327111975317,-0.153701838841663,-0.32706395954905,-0.197658163380115,-0.293279605300642
19,"D19-260026",21,"M09D6GC01","Pandoraea","Burkholderiales","Burkholderiaceae","Pandoraea",19,"loser3","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__",249344,10,1777,734,1540,0.260763713353053,0.0130688526225971,0.413092597388407,-0.322171148390125,-0.462023623081669,-0.326248799395812,-0.191359436703013,-0.292541425804288
28,"D19-260021",19,"M09D5C28","Dyella","Xanthomonadales","Rhodanobacteraceae","Rhodanobacteraceae",28,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__",1300357,371.5,9704,2120,8639,0.254815331877828,0.00784186058771826,0.363967087353892,1.53198568749599,0.826511926083211,-0.314229523093809,-0.0871214275811232,-0.253140401408679
27,"D19-260019",12,"M07D6GC08","Pedobacter","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",27,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__",212713,16,4846,685,1545,0.24592697446998,0.0271599156151601,0.43585585325954,-0.386794154057366,-0.440637140937854,-0.326673723305479,-0.151002876844923,-0.292513674695403
34,"D19-260033",31,"M10D6C16","Bosea","Rhizobiales","Beijerinckiaceae","Bosea",34,NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__",247944,11,1889,657,1521,0.243271755806877,0.00252234693362466,0.273184189663485,-0.324640974710295,-0.458459209391033,-0.326916536968145,-0.18988666553843,-0.292646880018053
14,"D19-260018",33,"M07D6C16","Sphingomonas","Sphingomonadales","Sphingomonadaceae","Sphingomonas",14,NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__",230123,11,3036,649,1478,0.238720147090065,0.0110894124069749,0.41279649258538,-0.356080099604399,-0.458459209391033,-0.326985912300336,-0.174803910843992,-0.292885539554468
2,"D19-260017",13,"M07D5GC17","X Nubsella (same fam)","Sphingomonadales","Sphingobacteriaceae","Pedobacter",2,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__",212909,13.5,1508,693,1588,0.236089658440461,0.0221159908185342,0.420538508786856,-0.386448378372543,-0.449548175164444,-0.326604347973288,-0.194896717446522,-0.292275015158988
32,"D19-260031",6,"M10D5GC11","Delftia","Burkholderiales","Burkholderiaceae","Delftia",32,"loser1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Delftia;s__Delftia acidovorans",210436,8,1436,663,1487,0.234200582272215,0.0299159379103025,0.497316588302892,-0.390811150150957,-0.469152450462941,-0.326864505469003,-0.195843498909468,-0.292835587558475
8,"D19-260008",29,"M03D6GC30","Rhizobium","Rhizobiales","Rhizobiaceae","Rhizobium",8,NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__",236563,10.5,1783,655,1490,0.206575024821433,0.019464962372566,0.572472455061688,-0.344718898531618,-0.460241416236351,-0.326933880801193,-0.191280538247768,-0.292818936893143
30,"D19-260028",14,"M10D5C22","Pedobacter","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",30,NA,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__",221492,11,1335,999,1487,0.204723080831699,0.00941019454571657,0.426943569735423,-0.371306578868245,-0.458459209391033,-0.323950741517002,-0.197171622906101,-0.292835587558475
12,"D19-260020",30,"M09D5C26","Rhizobium","Rhizobiales","Rhizobiaceae","Rhizobium",12,NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__",211427,7,1502,695,1537,0.191718822217809,0.0104388572966517,0.406063728183525,-0.389062865948608,-0.472716864153577,-0.326587004140241,-0.194975615901767,-0.29255807646962
33,"D19-260027",24,"M10D5C16","X Acidovorax","Burkholderiales","Burkholderiaceae","Xylophilus",33,NA,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xylophilus;s__",208517,13,1432,689,1448,0.179655471678706,0.004661452349624,0.472384981200949,-0.394196576371247,-0.451330382009762,-0.326639035639383,-0.195896097879632,-0.293052046207781
